LHD,Period,Per cent,LL 95% CI,UL 95% CI
Western Sydney LHD,2020,4.2,2.4,6.1
Western Sydney LHD,2021,2,1,3
Western Sydney LHD,2022,2.7,1.1,4.3
Western Sydney LHD,2023,2,0.9,3.1
Nepean Blue Mountains LHD,2002,5.8,4.1,7.6
Nepean Blue Mountains LHD,2003,5.3,3.6,7.1
Nepean Blue Mountains LHD,2004,5.1,3.2,6.9
Nepean Blue Mountains LHD,2005,6.1,4,8.3
Nepean Blue Mountains LHD,2006,6.1,3.7,8.6
Nepean Blue Mountains LHD,2007,10.3,6.9,13.6
Nepean Blue Mountains LHD,2008,6.5,4.2,8.8
Nepean Blue Mountains LHD,2009,9.2,6.6,11.8
Nepean Blue Mountains LHD,2010,7.2,4.8,9.5
Nepean Blue Mountains LHD,2011,6.8,4.4,9.2
Nepean Blue Mountains LHD,2012,4.9,3.3,6.5
Nepean Blue Mountains LHD,2013,9.2,6.3,12.1
Nepean Blue Mountains LHD,2014,6.6,4.3,9
Nepean Blue Mountains LHD,2015,6.9,4.2,9.6
Nepean Blue Mountains LHD,2016,7.8,5,10.6
Nepean Blue Mountains LHD,2017,5.7,3.3,8.1
Nepean Blue Mountains LHD,2018,5.6,3,8.2
Nepean Blue Mountains LHD,2019,8.4,3.6,13.2
Nepean Blue Mountains LHD,2020,6.3,2.9,9.7
Nepean Blue Mountains LHD,2021,4,2.2,5.8
Nepean Blue Mountains LHD,2022,5.2,2.7,7.6
Nepean Blue Mountains LHD,2023,4.4,2.6,6.3
Northern Sydney LHD,2002,4.4,2.9,5.9
Northern Sydney LHD,2003,8.6,6.4,10.7
Northern Sydney LHD,2004,7.2,4.4,9.9
Northern Sydney LHD,2005,5,3.6,6.3
Northern Sydney LHD,2006,6.8,4.8,8.7
Northern Sydney LHD,2007,8.8,6.5,11.1
Northern Sydney LHD,2008,9.1,6.7,11.4
Northern Sydney LHD,2009,8.1,6.1,10
Northern Sydney LHD,2010,6.7,4.9,8.6
Northern Sydney LHD,2011,5.7,3.6,7.9
Northern Sydney LHD,2012,6.5,4.6,8.4
Northern Sydney LHD,2013,5.7,4.2,7.3
Northern Sydney LHD,2014,5.1,3.6,6.6
Northern Sydney LHD,2015,5.1,3.6,6.6
Northern Sydney LHD,2016,8,5.9,10.2
Northern Sydney LHD,2017,7.8,5.6,9.9
Northern Sydney LHD,2018,6.7,4.6,8.7
Northern Sydney LHD,2019,6.9,4.6,9.2
Northern Sydney LHD,2020,8.2,5.3,11
Northern Sydney LHD,2021,7.2,4.7,9.6
Northern Sydney LHD,2022,4.3,2.7,5.8
Northern Sydney LHD,2023,5.5,3.7,7.4
Central Coast LHD,2002,8.1,5.8,10.5
Central Coast LHD,2003,10.3,7.9,12.7
Central Coast LHD,2004,6.5,4.4,8.6
Central Coast LHD,2005,7.6,5.2,9.9
Central Coast LHD,2006,7.8,4.8,10.8
Central Coast LHD,2007,8.7,5.2,12.1
Central Coast LHD,2008,7.8,4.8,10.7
Central Coast LHD,2009,9.2,5.8,12.6
Central Coast LHD,2010,8,5.3,10.8
Central Coast LHD,2011,7.6,5.5,9.6
Central Coast LHD,2012,6.8,5,8.6
Central Coast LHD,2013,6.5,4.5,8.4
Central Coast LHD,2014,8.4,5.6,11.3
Central Coast LHD,2015,4.9,3,6.8
Central Coast LHD,2016,7.3,4.8,9.7
Central Coast LHD,2017,10.7,6.3,15.1
Central Coast LHD,2018,5.1,2.8,7.3
Central Coast LHD,2019,9.3,4.9,13.7
Central Coast LHD,2020,6.8,3.3,10.4
Central Coast LHD,2021,6.7,2.9,10.5
Central Coast LHD,2022,3.1,1.5,4.8
Central Coast LHD,2023,5.4,3.1,7.7
Hunter New England LHD,2002,8,6.6,9.5
Hunter New England LHD,2003,8.7,7.3,10.1
Hunter New England LHD,2004,8.6,7,10.3
Hunter New England LHD,2005,7.9,6.6,9.3
Hunter New England LHD,2006,10.1,8.2,11.9
Hunter New England LHD,2007,11.4,9.2,13.5
Hunter New England LHD,2008,10,8.2,11.8
Hunter New England LHD,2009,10.3,8.7,12
Hunter New England LHD,2010,8.5,6.9,10.1
Hunter New England LHD,2011,10.1,7.5,12.7
Hunter New England LHD,2012,7.9,5.6,10.1
Hunter New England LHD,2013,10.5,8.2,12.7
Hunter New England LHD,2014,11,8.5,13.5
Hunter New England LHD,2015,7.6,5.3,9.9
Hunter New England LHD,2016,7.7,5.8,9.6
Hunter New England LHD,2017,8.7,6.5,11
Hunter New England LHD,2018,5.8,4,7.7
Hunter New England LHD,2019,7,4.7,9.2
Hunter New England LHD,2020,8.3,5.8,10.8
Hunter New England LHD,2021,5.6,3.9,7.4
Hunter New England LHD,2022,4.7,3,6.4
Hunter New England LHD,2023,6.3,3.7,9
Northern NSW LHD,2002,9.3,7.1,11.5
Northern NSW LHD,2003,10.2,8.1,12.3
Northern NSW LHD,2004,8.9,6.8,11.1
Northern NSW LHD,2005,9,7.1,10.9
Northern NSW LHD,2006,12.2,9.4,14.9
