Smoking status,LHD,Period,Per cent,LL 95% CI,UL 95% CI
Tried but never smoked regularly,South Western Sydney LHD,2005-2006,7.3,5.7,9
Tried but never smoked regularly,South Western Sydney LHD,2006-2007,7.7,5.8,9.6
Tried but never smoked regularly,South Western Sydney LHD,2007-2008,8.4,6.5,10.3
Tried but never smoked regularly,South Western Sydney LHD,2008-2009,8.9,7,10.7
Tried but never smoked regularly,South Western Sydney LHD,2009-2010,9,7.3,10.7
Tried but never smoked regularly,South Western Sydney LHD,2010-2011,9.3,7.5,11.1
Tried but never smoked regularly,South Western Sydney LHD,2011-2012,8,6.2,9.7
Tried but never smoked regularly,South Western Sydney LHD,2012-2013,6.2,4.8,7.5
Tried but never smoked regularly,South Western Sydney LHD,2013-2014,6.6,5.3,7.8
Tried but never smoked regularly,South Western Sydney LHD,2014-2015,7.9,5.3,10.4
Tried but never smoked regularly,South Western Sydney LHD,2015-2016,8.3,5.8,10.9
Tried but never smoked regularly,South Western Sydney LHD,2016-2017,7.2,5.7,8.7
Tried but never smoked regularly,South Western Sydney LHD,2017-2018,8.2,6.5,9.9
Tried but never smoked regularly,South Western Sydney LHD,2018-2019,8.9,7.1,10.7
Tried but never smoked regularly,South Western Sydney LHD,2019-2020,9.2,7.2,11.2
Tried but never smoked regularly,South Western Sydney LHD,2020-2021,10.7,8.6,12.7
Tried but never smoked regularly,South Western Sydney LHD,2021-2022,10.7,8.9,12.5
Tried but never smoked regularly,South Western Sydney LHD,2022-2023,10.1,8.3,11.8
Tried but never smoked regularly,South Eastern Sydney LHD,2002-2003,12,10,14
Tried but never smoked regularly,South Eastern Sydney LHD,2003-2004,11.4,9.3,13.5
Tried but never smoked regularly,South Eastern Sydney LHD,2004-2005,11.2,9.1,13.2
Tried but never smoked regularly,South Eastern Sydney LHD,2005-2006,11.8,9.6,14.1
Tried but never smoked regularly,South Eastern Sydney LHD,2006-2007,11.9,9.3,14.6
Tried but never smoked regularly,South Eastern Sydney LHD,2007-2008,12.3,9.7,14.8
Tried but never smoked regularly,South Eastern Sydney LHD,2008-2009,11.9,9.6,14.2
Tried but never smoked regularly,South Eastern Sydney LHD,2009-2010,10.1,7.8,12.3
Tried but never smoked regularly,South Eastern Sydney LHD,2010-2011,11.5,9.1,14
Tried but never smoked regularly,South Eastern Sydney LHD,2011-2012,12.3,9.8,14.8
Tried but never smoked regularly,South Eastern Sydney LHD,2012-2013,10.3,8.3,12.4
Tried but never smoked regularly,South Eastern Sydney LHD,2013-2014,10.9,9,12.8
Tried but never smoked regularly,South Eastern Sydney LHD,2014-2015,10.5,8.6,12.4
Tried but never smoked regularly,South Eastern Sydney LHD,2015-2016,10.1,8.4,11.9
Tried but never smoked regularly,South Eastern Sydney LHD,2016-2017,12.9,10.9,14.9
Tried but never smoked regularly,South Eastern Sydney LHD,2017-2018,13.2,11.1,15.4
Tried but never smoked regularly,South Eastern Sydney LHD,2018-2019,10.9,8.8,13.1
Tried but never smoked regularly,South Eastern Sydney LHD,2019-2020,10.6,8.4,12.8
Tried but never smoked regularly,South Eastern Sydney LHD,2020-2021,12.3,10.2,14.3
Tried but never smoked regularly,South Eastern Sydney LHD,2021-2022,14.3,12.2,16.3
Tried but never smoked regularly,South Eastern Sydney LHD,2022-2023,14.2,12.2,16.3
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2002-2003,8.7,7.2,10.2
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2003-2004,10.1,8.1,12.1
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2004-2005,11.7,9.2,14.3
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2005-2006,9.4,6.9,11.9
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2006-2007,8.9,6.4,11.3
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2007-2008,10.6,8,13.3
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2008-2009,9.3,6.8,11.8
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2009-2010,8.7,6.1,11.3
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2010-2011,10.9,8.3,13.5
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2011-2012,11.5,9.2,13.8
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2012-2013,8.6,6.7,10.4
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2013-2014,10,7.4,12.6
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2014-2015,10.9,8.2,13.6
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2015-2016,9.1,7.1,11.2
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2016-2017,10.6,8.2,13
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2017-2018,10.7,8.3,13.1
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2018-2019,8.9,6.5,11.3
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2019-2020,9.4,6.6,12.3
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2020-2021,10.3,7.6,13
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2021-2022,11.5,9.2,13.8
Tried but never smoked regularly,Illawarra Shoalhaven LHD,2022-2023,11.5,9.2,13.7
Tried but never smoked regularly,Western Sydney LHD,2002-2003,10.7,8.8,12.5
Tried but never smoked regularly,Western Sydney LHD,2003-2004,10.1,8.1,12
Tried but never smoked regularly,Western Sydney LHD,2004-2005,9.5,7.7,11.3
Tried but never smoked regularly,Western Sydney LHD,2005-2006,9.2,7.5,11
Tried but never smoked regularly,Western Sydney LHD,2006-2007,9.6,7.6,11.6
Tried but never smoked regularly,Western Sydney LHD,2007-2008,9.7,7.7,11.6
Tried but never smoked regularly,Western Sydney LHD,2008-2009,9.9,8.1,11.7
Tried but never smoked regularly,Western Sydney LHD,2009-2010,11.1,9.2,13
Tried but never smoked regularly,Western Sydney LHD,2010-2011,10.4,8.5,12.3
Tried but never smoked regularly,Western Sydney LHD,2011-2012,7.8,6.1,9.5
Tried but never smoked regularly,Western Sydney LHD,2012-2013,7.1,5.7,8.5
Tried but never smoked regularly,Western Sydney LHD,2013-2014,8,6.7,9.4
Tried but never smoked regularly,Western Sydney LHD,2014-2015,8.1,6.2,10
Tried but never smoked regularly,Western Sydney LHD,2015-2016,7.6,5.7,9.5
Tried but never smoked regularly,Western Sydney LHD,2016-2017,8.7,7.2,10.3
Tried but never smoked regularly,Western Sydney LHD,2017-2018,9,7.4,10.7
Tried but never smoked regularly,Western Sydney LHD,2018-2019,8.3,6.6,10.1
Tried but never smoked regularly,Western Sydney LHD,2019-2020,9.3,7.2,11.4
Tried but never smoked regularly,Western Sydney LHD,2020-2021,11.1,8.9,13.3
Tried but never smoked regularly,Western Sydney LHD,2021-2022,11,9.1,12.9
Tried but never smoked regularly,Western Sydney LHD,2022-2023,9.1,7.5,10.7
Tried but never smoked regularly,Nepean Blue Mountains LHD,2002-2003,11,9.2,12.8
Tried but never smoked regularly,Nepean Blue Mountains LHD,2003-2004,10.9,8.9,12.9
Tried but never smoked regularly,Nepean Blue Mountains LHD,2004-2005,10.5,8.3,12.7
Tried but never smoked regularly,Nepean Blue Mountains LHD,2005-2006,9.5,6.8,12.1
Tried but never smoked regularly,Nepean Blue Mountains LHD,2006-2007,11.4,8.1,14.6
Tried but never smoked regularly,Nepean Blue Mountains LHD,2007-2008,11.7,8.6,14.7
Tried but never smoked regularly,Nepean Blue Mountains LHD,2008-2009,11.4,8.2,14.5
Tried but never smoked regularly,Nepean Blue Mountains LHD,2009-2010,11,8.1,14
Tried but never smoked regularly,Nepean Blue Mountains LHD,2010-2011,9.9,7.1,12.6
Tried but never smoked regularly,Nepean Blue Mountains LHD,2011-2012,9.7,7.2,12.2
Tried but never smoked regularly,Nepean Blue Mountains LHD,2012-2013,9.9,7.8,12.1
Tried but never smoked regularly,Nepean Blue Mountains LHD,2013-2014,11.8,9.4,14.2
Tried but never smoked regularly,Nepean Blue Mountains LHD,2014-2015,10.9,8.4,13.4
Tried but never smoked regularly,Nepean Blue Mountains LHD,2015-2016,7.2,5,9.4
Tried but never smoked regularly,Nepean Blue Mountains LHD,2016-2017,6.3,4.6,8
Tried but never smoked regularly,Nepean Blue Mountains LHD,2017-2018,7.3,5.5,9.2
Tried but never smoked regularly,Nepean Blue Mountains LHD,2018-2019,7.3,5.1,9.4
Tried but never smoked regularly,Nepean Blue Mountains LHD,2019-2020,8.3,5.6,11
Tried but never smoked regularly,Nepean Blue Mountains LHD,2020-2021,9.5,6.9,12.2
Tried but never smoked regularly,Nepean Blue Mountains LHD,2021-2022,12.2,9.8,14.7
Tried but never smoked regularly,Nepean Blue Mountains LHD,2022-2023,13.1,10.6,15.5
Tried but never smoked regularly,Northern Sydney LHD,2002-2003,13.2,11.3,15.2
Tried but never smoked regularly,Northern Sydney LHD,2003-2004,13.4,11.2,15.7
Tried but never smoked regularly,Northern Sydney LHD,2004-2005,10.5,8.4,12.5
Tried but never smoked regularly,Northern Sydney LHD,2005-2006,10.5,8.7,12.3
Tried but never smoked regularly,Northern Sydney LHD,2006-2007,11.8,9.7,14
Tried but never smoked regularly,Northern Sydney LHD,2007-2008,12.3,10.2,14.5
Tried but never smoked regularly,Northern Sydney LHD,2008-2009,12.7,10.7,14.7
Tried but never smoked regularly,Northern Sydney LHD,2009-2010,13.7,11.7,15.7
Tried but never smoked regularly,Northern Sydney LHD,2010-2011,15.4,12.7,18
Tried but never smoked regularly,Northern Sydney LHD,2011-2012,13.5,11,16.1
Tried but never smoked regularly,Northern Sydney LHD,2012-2013,12.2,10.4,14
Tried but never smoked regularly,Northern Sydney LHD,2013-2014,12.7,10.9,14.5
Tried but never smoked regularly,Northern Sydney LHD,2014-2015,12.2,9.6,14.8
Tried but never smoked regularly,Northern Sydney LHD,2015-2016,12.2,9.6,14.8
Tried but never smoked regularly,Northern Sydney LHD,2016-2017,12.7,10.7,14.6
Tried but never smoked regularly,Northern Sydney LHD,2017-2018,13,11,15
Tried but never smoked regularly,Northern Sydney LHD,2018-2019,12.8,10.7,14.8
Tried but never smoked regularly,Northern Sydney LHD,2019-2020,13.5,11.1,16
Tried but never smoked regularly,Northern Sydney LHD,2020-2021,15.6,12.9,18.3
Tried but never smoked regularly,Northern Sydney LHD,2021-2022,16,13.5,18.4
Tried but never smoked regularly,Northern Sydney LHD,2022-2023,13.7,11.6,15.7
Tried but never smoked regularly,Central Coast LHD,2002-2003,9.8,7.9,11.8
Tried but never smoked regularly,Central Coast LHD,2003-2004,10,8,12
Tried but never smoked regularly,Central Coast LHD,2004-2005,8.6,6.5,10.7
Tried but never smoked regularly,Central Coast LHD,2005-2006,8.8,6.5,11.1
Tried but never smoked regularly,Central Coast LHD,2006-2007,9.2,6.4,12
Tried but never smoked regularly,Central Coast LHD,2007-2008,7.8,5.1,10.5
Tried but never smoked regularly,Central Coast LHD,2008-2009,10,6.9,13
Tried but never smoked regularly,Central Coast LHD,2009-2010,12.4,9.2,15.7
Tried but never smoked regularly,Central Coast LHD,2010-2011,11.2,8.6,13.7
Tried but never smoked regularly,Central Coast LHD,2011-2012,10.9,8.7,13.1
Tried but never smoked regularly,Central Coast LHD,2012-2013,10.9,8.4,13.4
Tried but never smoked regularly,Central Coast LHD,2013-2014,10.5,7.6,13.4
Tried but never smoked regularly,Central Coast LHD,2014-2015,8.8,6.2,11.4
Tried but never smoked regularly,Central Coast LHD,2015-2016,8,5.4,10.5
Tried but never smoked regularly,Central Coast LHD,2016-2017,11.7,7.9,15.5
Tried but never smoked regularly,Central Coast LHD,2017-2018,13.4,9.4,17.3
Tried but never smoked regularly,Central Coast LHD,2018-2019,10.9,7.7,14.1
Tried but never smoked regularly,Central Coast LHD,2019-2020,9.2,5.8,12.6
Tried but never smoked regularly,Central Coast LHD,2020-2021,12.9,9.3,16.4
Tried but never smoked regularly,Central Coast LHD,2021-2022,15.5,12.5,18.5
Tried but never smoked regularly,Central Coast LHD,2022-2023,13.6,10.7,16.4
Tried but never smoked regularly,Hunter New England LHD,2002-2003,10.8,9.4,12.2
Tried but never smoked regularly,Hunter New England LHD,2003-2004,11.2,9.9,12.6
Tried but never smoked regularly,Hunter New England LHD,2004-2005,10.9,9.5,12.3
Tried but never smoked regularly,Hunter New England LHD,2005-2006,10.7,9.2,12.2
Tried but never smoked regularly,Hunter New England LHD,2006-2007,10.3,8.6,12
Tried but never smoked regularly,Hunter New England LHD,2007-2008,10.8,9.1,12.5
Tried but never smoked regularly,Hunter New England LHD,2008-2009,10.6,9.1,12.1
Tried but never smoked regularly,Hunter New England LHD,2009-2010,10.1,8.6,11.6
Tried but never smoked regularly,Hunter New England LHD,2010-2011,10.9,9,12.8
Tried but never smoked regularly,Hunter New England LHD,2011-2012,12.8,9.4,16.1
Tried but never smoked regularly,Hunter New England LHD,2012-2013,11.3,8.2,14.4
Tried but never smoked regularly,Hunter New England LHD,2013-2014,9.1,7.5,10.6
Tried but never smoked regularly,Hunter New England LHD,2014-2015,9.7,7.8,11.6
Tried but never smoked regularly,Hunter New England LHD,2015-2016,8.7,6.9,10.6
Tried but never smoked regularly,Hunter New England LHD,2016-2017,9.7,7.8,11.5
Tried but never smoked regularly,Hunter New England LHD,2017-2018,11.2,9.3,13
Tried but never smoked regularly,Hunter New England LHD,2018-2019,9.6,7.8,11.4
Tried but never smoked regularly,Hunter New England LHD,2019-2020,10.9,8.5,13.2
Tried but never smoked regularly,Hunter New England LHD,2020-2021,13.9,11.4,16.4
Tried but never smoked regularly,Hunter New England LHD,2021-2022,12.5,10.4,14.5
Tried but never smoked regularly,Hunter New England LHD,2022-2023,11.7,9.7,13.7
Tried but never smoked regularly,Northern NSW LHD,2002-2003,9.4,7.7,11
Tried but never smoked regularly,Northern NSW LHD,2003-2004,11,9.2,12.8
Tried but never smoked regularly,Northern NSW LHD,2004-2005,11,9.2,12.9
Tried but never smoked regularly,Northern NSW LHD,2005-2006,9.5,7.7,11.4
Tried but never smoked regularly,Northern NSW LHD,2006-2007,8.5,6.5,10.5
Tried but never smoked regularly,Northern NSW LHD,2007-2008,8.6,6.6,10.6
Tried but never smoked regularly,Northern NSW LHD,2008-2009,9.7,7.7,11.6
Tried but never smoked regularly,Northern NSW LHD,2009-2010,11.5,9.5,13.4
Tried but never smoked regularly,Northern NSW LHD,2010-2011,10.9,8.8,13
Tried but never smoked regularly,Northern NSW LHD,2011-2012,9.4,7.2,11.5
Tried but never smoked regularly,Northern NSW LHD,2012-2013,9.9,7.5,12.3
Tried but never smoked regularly,Northern NSW LHD,2013-2014,11.4,8.2,14.7
Tried but never smoked regularly,Northern NSW LHD,2014-2015,9.7,6.5,12.8
Tried but never smoked regularly,Northern NSW LHD,2015-2016,8.7,6.3,11
Tried but never smoked regularly,Northern NSW LHD,2016-2017,10.6,7.8,13.4
Tried but never smoked regularly,Northern NSW LHD,2017-2018,11.2,8,14.4
Tried but never smoked regularly,Northern NSW LHD,2018-2019,10.6,7.3,13.9
Tried but never smoked regularly,Northern NSW LHD,2019-2020,11.9,8.1,15.7
Tried but never smoked regularly,Northern NSW LHD,2020-2021,13.4,9.9,17
Tried but never smoked regularly,Northern NSW LHD,2021-2022,13.5,10.7,16.3
Tried but never smoked regularly,Northern NSW LHD,2022-2023,13.1,10.4,15.8
Tried but never smoked regularly,Mid North Coast LHD,2002-2003,11.4,9,13.9
Tried but never smoked regularly,Mid North Coast LHD,2003-2004,10.1,7.8,12.3
Tried but never smoked regularly,Mid North Coast LHD,2004-2005,9.3,7.2,11.4
Tried but never smoked regularly,Mid North Coast LHD,2005-2006,11.2,8.8,13.6
Tried but never smoked regularly,Mid North Coast LHD,2006-2007,10.9,8.3,13.6
Tried but never smoked regularly,Mid North Coast LHD,2007-2008,7.4,5.6,9.2
Tried but never smoked regularly,Mid North Coast LHD,2008-2009,10,7.7,12.2
Tried but never smoked regularly,Mid North Coast LHD,2009-2010,11.6,9.2,14
Tried but never smoked regularly,Mid North Coast LHD,2010-2011,10.7,8.5,13
Tried but never smoked regularly,Mid North Coast LHD,2011-2012,11,8.5,13.6
Tried but never smoked regularly,Mid North Coast LHD,2012-2013,9.3,6.8,11.7
Tried but never smoked regularly,Mid North Coast LHD,2013-2014,9.1,6.1,12.1
Tried but never smoked regularly,Mid North Coast LHD,2014-2015,12.2,7.1,17.3
Tried but never smoked regularly,Mid North Coast LHD,2015-2016,10,5.4,14.5
Tried but never smoked regularly,Mid North Coast LHD,2016-2017,8.7,6.1,11.3
Tried but never smoked regularly,Mid North Coast LHD,2017-2018,9.1,6.1,12
Tried but never smoked regularly,Mid North Coast LHD,2018-2019,9.7,5.7,13.6
Tried but never smoked regularly,Mid North Coast LHD,2019-2020,12.1,7.3,16.9
Tried but never smoked regularly,Mid North Coast LHD,2020-2021,13.6,9.5,17.8
Tried but never smoked regularly,Mid North Coast LHD,2021-2022,12.3,9.3,15.2
Tried but never smoked regularly,Mid North Coast LHD,2022-2023,12.1,9.3,14.9
Tried but never smoked regularly,Southern NSW LHD,2002-2003,9.4,7.6,11.3
Tried but never smoked regularly,Southern NSW LHD,2003-2004,9.2,7.1,11.3
Tried but never smoked regularly,Southern NSW LHD,2004-2005,9.3,7.1,11.5
Tried but never smoked regularly,Southern NSW LHD,2005-2006,7.5,5.5,9.5
Tried but never smoked regularly,Southern NSW LHD,2006-2007,5.7,3.7,7.6
Tried but never smoked regularly,Southern NSW LHD,2007-2008,8.9,5.6,12.2
Tried but never smoked regularly,Southern NSW LHD,2008-2009,11.3,8,14.5
Tried but never smoked regularly,Southern NSW LHD,2009-2010,11,8.1,13.9
Tried but never smoked regularly,Southern NSW LHD,2010-2011,9.5,7.1,11.9
Tried but never smoked regularly,Southern NSW LHD,2011-2012,9.8,7.3,12.2
Tried but never smoked regularly,Southern NSW LHD,2012-2013,9,6.3,11.8
Tried but never smoked regularly,Southern NSW LHD,2013-2014,9.5,6.1,12.9
Tried but never smoked regularly,Southern NSW LHD,2014-2015,9.3,6,12.5
Tried but never smoked regularly,Southern NSW LHD,2015-2016,6,4.2,7.7
Tried but never smoked regularly,Southern NSW LHD,2016-2017,7.5,5.4,9.6
Tried but never smoked regularly,Southern NSW LHD,2017-2018,9.1,6.6,11.7
Tried but never smoked regularly,Southern NSW LHD,2018-2019,10.5,6.7,14.4
Tried but never smoked regularly,Southern NSW LHD,2019-2020,13,7.6,18.3
Tried but never smoked regularly,Southern NSW LHD,2020-2021,12.1,7.3,16.9
Tried but never smoked regularly,Southern NSW LHD,2021-2022,12.5,9.4,15.6
Tried but never smoked regularly,Southern NSW LHD,2022-2023,12.2,9.4,15.1
Tried but never smoked regularly,Murrumbidgee LHD,2002-2003,11.6,9.6,13.5
Tried but never smoked regularly,Murrumbidgee LHD,2003-2004,10.8,8.8,12.7
Tried but never smoked regularly,Murrumbidgee LHD,2004-2005,11.4,9.2,13.6
Tried but never smoked regularly,Murrumbidgee LHD,2005-2006,12,9.6,14.3
Tried but never smoked regularly,Murrumbidgee LHD,2006-2007,11.7,9,14.3
Tried but never smoked regularly,Murrumbidgee LHD,2007-2008,11.9,9.5,14.3
Tried but never smoked regularly,Murrumbidgee LHD,2008-2009,12,9.7,14.2
Tried but never smoked regularly,Murrumbidgee LHD,2009-2010,11,8.8,13.2
Tried but never smoked regularly,Murrumbidgee LHD,2010-2011,10.5,8.3,12.7
Tried but never smoked regularly,Murrumbidgee LHD,2011-2012,10.9,8.5,13.4
Tried but never smoked regularly,Murrumbidgee LHD,2012-2013,10.8,8.4,13.3
Tried but never smoked regularly,Murrumbidgee LHD,2013-2014,8.8,6.7,10.9
Tried but never smoked regularly,Murrumbidgee LHD,2014-2015,8,6.1,10
Tried but never smoked regularly,Murrumbidgee LHD,2015-2016,9.7,6.9,12.5
Tried but never smoked regularly,Murrumbidgee LHD,2016-2017,9.7,6.9,12.5
Tried but never smoked regularly,Murrumbidgee LHD,2017-2018,9.7,7.2,12.2
Tried but never smoked regularly,Murrumbidgee LHD,2018-2019,10.2,7.2,13.1
Tried but never smoked regularly,Murrumbidgee LHD,2019-2020,11.1,6.8,15.3
Tried but never smoked regularly,Murrumbidgee LHD,2020-2021,11.3,7.4,15.2
Tried but never smoked regularly,Murrumbidgee LHD,2021-2022,11,8.6,13.4
Tried but never smoked regularly,Murrumbidgee LHD,2022-2023,11.3,8.5,14
Tried but never smoked regularly,Western NSW LHD,2002-2003,11,9.7,12.2
Tried but never smoked regularly,Western NSW LHD,2003-2004,10.4,9,11.8
Tried but never smoked regularly,Western NSW LHD,2004-2005,9.6,8.2,11
Tried but never smoked regularly,Western NSW LHD,2005-2006,10.2,8.6,11.8
Tried but never smoked regularly,Western NSW LHD,2006-2007,10.9,8.9,12.8
Tried but never smoked regularly,Western NSW LHD,2007-2008,10.6,8.8,12.4
Tried but never smoked regularly,Western NSW LHD,2008-2009,10.6,9,12.3
Tried but never smoked regularly,Western NSW LHD,2009-2010,11.4,9.6,13.2
Tried but never smoked regularly,Western NSW LHD,2010-2011,11.2,9,13.5
Tried but never smoked regularly,Western NSW LHD,2011-2012,9.6,7.2,11.9
Tried but never smoked regularly,Western NSW LHD,2012-2013,9.4,6.9,11.9
Tried but never smoked regularly,Western NSW LHD,2013-2014,11.1,8,14.2
Tried but never smoked regularly,Western NSW LHD,2014-2015,10.8,7.7,13.8
Tried but never smoked regularly,Western NSW LHD,2015-2016,9,6.4,11.6
Tried but never smoked regularly,Western NSW LHD,2016-2017,10.2,7.2,13.3
Tried but never smoked regularly,Western NSW LHD,2017-2018,10.8,7.7,13.9
Tried but never smoked regularly,Western NSW LHD,2018-2019,10.6,7.4,13.8
Tried but never smoked regularly,Western NSW LHD,2019-2020,11.5,7.8,15.1
Tried but never smoked regularly,Western NSW LHD,2020-2021,10.6,7.3,13.8
Tried but never smoked regularly,Western NSW LHD,2021-2022,10,7.4,12.5
Tried but never smoked regularly,Western NSW LHD,2022-2023,13.9,10.7,17
Tried but never smoked regularly,Far West LHD,2002-2003,9,7,11
Tried but never smoked regularly,Far West LHD,2003-2004,9.9,7.7,12.1
Tried but never smoked regularly,Far West LHD,2004-2005,9.7,6.3,13.1
Tried but never smoked regularly,Far West LHD,2005-2006,7.2,3.6,10.7
Tried but never smoked regularly,Far West LHD,2006-2007,6.5,3,10.1
Tried but never smoked regularly,Far West LHD,2007-2008,8.9,3.9,14
Tried but never smoked regularly,Far West LHD,2008-2009,10.9,5.3,16.4
Tried but never smoked regularly,Far West LHD,2009-2010,10.2,5,15.4
Tried but never smoked regularly,Far West LHD,2010-2011,8.1,4.7,11.4
Tried but never smoked regularly,Far West LHD,2011-2012,8.7,6.1,11.2
Tried but never smoked regularly,Far West LHD,2012-2013,9,6.1,11.9
Tried but never smoked regularly,Far West LHD,2013-2014,6.8,4.6,9.1
Tried but never smoked regularly,Far West LHD,2014-2015,4.9,3.5,6.3
Tried but never smoked regularly,Far West LHD,2015-2016,8.3,3.8,12.8
Tried but never smoked regularly,Far West LHD,2016-2017,9.9,4.8,15.1
Tried but never smoked regularly,Far West LHD,2017-2018,11.7,4.8,18.6
Tried but never smoked regularly,Far West LHD,2018-2019,13.7,6.6,20.7
Tried but never smoked regularly,Far West LHD,2019-2020,9.9,5.4,14.4
Tried but never smoked regularly,Far West LHD,2020-2021,8.8,4.8,12.8
Tried but never smoked regularly,Far West LHD,2021-2022,9.5,6.1,13
Tried but never smoked regularly,Far West LHD,2022-2023,9.7,5.5,13.9
Tried but never smoked regularly,All LHDs,2002-2003,10.8,10.3,11.3
Tried but never smoked regularly,All LHDs,2003-2004,11.1,10.5,11.7
Tried but never smoked regularly,All LHDs,2004-2005,10.4,9.8,11
Tried but never smoked regularly,All LHDs,2005-2006,9.9,9.4,10.5
Tried but never smoked regularly,All LHDs,2006-2007,10.2,9.5,10.9
Tried but never smoked regularly,All LHDs,2007-2008,10.3,9.7,11
Tried but never smoked regularly,All LHDs,2008-2009,10.7,10,11.3
Tried but never smoked regularly,All LHDs,2009-2010,10.9,10.3,11.5
Tried but never smoked regularly,All LHDs,2010-2011,11.2,10.5,11.9
Tried but never smoked regularly,All LHDs,2011-2012,10.7,10,11.5
Tried but never smoked regularly,All LHDs,2012-2013,9.6,8.9,10.2
Tried but never smoked regularly,All LHDs,2013-2014,9.8,9.3,10.4
Tried but never smoked regularly,All LHDs,2014-2015,9.9,9.2,10.6
Tried but never smoked regularly,All LHDs,2015-2016,9.3,8.6,10
Tried but never smoked regularly,All LHDs,2016-2017,10.3,9.7,10.9
Tried but never smoked regularly,All LHDs,2017-2018,11,10.4,11.6
Tried but never smoked regularly,All LHDs,2018-2019,10.3,9.6,10.9
Tried but never smoked regularly,All LHDs,2019-2020,10.8,10.1,11.6
Tried but never smoked regularly,All LHDs,2020-2021,12.4,11.7,13.2
Tried but never smoked regularly,All LHDs,2021-2022,12.8,12.1,13.5
Tried but never smoked regularly,All LHDs,2022-2023,12.4,11.8,13
Never smoked,Sydney LHD,2002-2003,42.2,39.6,44.8
Never smoked,Sydney LHD,2003-2004,41,38.2,43.9
Never smoked,Sydney LHD,2004-2005,44.1,41,47.2
Never smoked,Sydney LHD,2005-2006,48.1,44.8,51.4
Never smoked,Sydney LHD,2006-2007,47.7,44,51.4
Never smoked,Sydney LHD,2007-2008,50.8,47.1,54.5
Never smoked,Sydney LHD,2008-2009,48.6,45.2,52.1
Never smoked,Sydney LHD,2009-2010,45.9,42.3,49.6
Never smoked,Sydney LHD,2010-2011,48.2,44.6,51.8
Never smoked,Sydney LHD,2011-2012,51.9,48.5,55.2
Never smoked,Sydney LHD,2012-2013,52.9,49.7,56.1
Never smoked,Sydney LHD,2013-2014,51.4,48.4,54.4
Never smoked,Sydney LHD,2014-2015,53.8,50.6,57
Never smoked,Sydney LHD,2015-2016,54,50.8,57.2
Never smoked,Sydney LHD,2016-2017,52.2,49,55.3
Never smoked,Sydney LHD,2017-2018,51.9,48.7,55.2
Never smoked,Sydney LHD,2018-2019,52.6,49.1,56.1
Never smoked,Sydney LHD,2019-2020,54.3,50.4,58.3
Never smoked,Sydney LHD,2020-2021,53.8,50.2,57.5
Never smoked,Sydney LHD,2021-2022,52.7,49.8,55.6
Never smoked,Sydney LHD,2022-2023,51.3,48.4,54.3
Never smoked,South Western Sydney LHD,2002-2003,43.7,40.9,46.6
Never smoked,South Western Sydney LHD,2003-2004,41.1,38.1,44.1
Never smoked,South Western Sydney LHD,2004-2005,45.8,42.7,48.9
Never smoked,South Western Sydney LHD,2005-2006,49.1,46,52.1
Never smoked,South Western Sydney LHD,2006-2007,48.2,44.8,51.5
Never smoked,South Western Sydney LHD,2007-2008,46.2,42.9,49.4
Never smoked,South Western Sydney LHD,2008-2009,48.4,45.4,51.4
Never smoked,South Western Sydney LHD,2009-2010,50.1,47.2,53
Never smoked,South Western Sydney LHD,2010-2011,49.5,46.5,52.5
Never smoked,South Western Sydney LHD,2011-2012,53.2,48.6,57.8
Never smoked,South Western Sydney LHD,2012-2013,56.3,51.9,60.6
Never smoked,South Western Sydney LHD,2013-2014,55.8,53.1,58.6
Never smoked,South Western Sydney LHD,2014-2015,57.3,53.8,60.8
Never smoked,South Western Sydney LHD,2015-2016,58.2,54.8,61.7
Never smoked,South Western Sydney LHD,2016-2017,56.1,53.2,58.9
Never smoked,South Western Sydney LHD,2017-2018,52.7,49.7,55.7
Never smoked,South Western Sydney LHD,2018-2019,51.3,48.1,54.5
Never smoked,South Western Sydney LHD,2019-2020,54.1,50.6,57.6
Never smoked,South Western Sydney LHD,2020-2021,56.1,52.9,59.4
Never smoked,South Western Sydney LHD,2021-2022,55.1,52.2,58.1
Never smoked,South Western Sydney LHD,2022-2023,55.1,52.1,58.1
Never smoked,South Eastern Sydney LHD,2002-2003,43.9,41,46.8
Never smoked,South Eastern Sydney LHD,2003-2004,44.9,41.6,48.2
