Electronic cigarette use,LHD,Period,Per cent,LL 95% CI,UL 95% CI
Ever used,Northern NSW LHD,2014-2015,7.9,4.5,11.4
Ever used,Northern NSW LHD,2015-2016,7.1,4.1,10.1
Ever used,Northern NSW LHD,2016-2017,7.2,4.3,10.2
Ever used,Northern NSW LHD,2017-2018,6.5,4,8.9
Ever used,Northern NSW LHD,2018-2019,8.1,5.2,11
Ever used,Northern NSW LHD,2019-2020,7.4,4.6,10.1
Ever used,Northern NSW LHD,2020-2021,9.5,7,12
Ever used,Northern NSW LHD,2021-2022,14.7,11.3,18
Ever used,Northern NSW LHD,2022-2023,14.9,11.6,18.2
Ever used,Mid North Coast LHD,2014-2015,8.1,4.8,11.3
Ever used,Mid North Coast LHD,2015-2016,6.5,4.1,9
Ever used,Mid North Coast LHD,2016-2017,4.7,2.9,6.5
Ever used,Mid North Coast LHD,2017-2018,3.6,2.1,5
Ever used,Mid North Coast LHD,2018-2019,3.7,1.8,5.6
Ever used,Mid North Coast LHD,2019-2020,5,2.4,7.7
Ever used,Mid North Coast LHD,2020-2021,10.2,6.9,13.5
Ever used,Mid North Coast LHD,2021-2022,14.4,10.9,17.9
Ever used,Mid North Coast LHD,2022-2023,15.5,12.2,18.8
Ever used,Southern NSW LHD,2014-2015,7.4,4.6,10.3
Ever used,Southern NSW LHD,2015-2016,6.9,4,9.7
Ever used,Southern NSW LHD,2016-2017,4.7,2.3,7.2
Ever used,Southern NSW LHD,2017-2018,6.3,3.8,8.8
Ever used,Southern NSW LHD,2018-2019,8.3,5,11.6
Ever used,Southern NSW LHD,2019-2020,8,3.9,12.1
Ever used,Southern NSW LHD,2020-2021,11.3,7.2,15.5
Ever used,Southern NSW LHD,2021-2022,12.8,9.6,16
Ever used,Southern NSW LHD,2022-2023,12.8,9.8,15.9
Ever used,Murrumbidgee LHD,2014-2015,7.9,5.2,10.6
Ever used,Murrumbidgee LHD,2015-2016,8.6,5.5,11.7
Ever used,Murrumbidgee LHD,2016-2017,8.5,5.2,11.9
Ever used,Murrumbidgee LHD,2017-2018,6.9,4.1,9.8
Ever used,Murrumbidgee LHD,2018-2019,7.1,4.1,10
Ever used,Murrumbidgee LHD,2019-2020,7.6,4.5,10.7
Ever used,Murrumbidgee LHD,2020-2021,9.4,6.7,12.1
Ever used,Murrumbidgee LHD,2021-2022,13.9,10.9,16.9
Ever used,Murrumbidgee LHD,2022-2023,16,12.7,19.3
Ever used,Western NSW LHD,2014-2015,7.5,4.7,10.3
Ever used,Western NSW LHD,2015-2016,7.3,4.1,10.6
Ever used,Western NSW LHD,2016-2017,7.9,4.4,11.5
Ever used,Western NSW LHD,2017-2018,6.3,3.5,9.2
Ever used,Western NSW LHD,2018-2019,8.7,5.4,12
Ever used,Western NSW LHD,2019-2020,8.9,5.6,12.3
Ever used,Western NSW LHD,2020-2021,10.4,6.8,14
Ever used,Western NSW LHD,2021-2022,14.1,10.5,17.7
Ever used,Western NSW LHD,2022-2023,13.6,10.4,16.8
Ever used,Far West LHD,2014-2015,12.4,8.3,16.5
Ever used,Far West LHD,2015-2016,9.2,6.5,11.8
Ever used,Far West LHD,2016-2017,9,5,13.1
Ever used,Far West LHD,2017-2018,9,4.8,13.2
Ever used,Far West LHD,2018-2019,9.7,5.5,14
Ever used,Far West LHD,2019-2020,11.1,4.4,17.9
Ever used,Far West LHD,2020-2021,12.8,5.7,19.9
Ever used,Far West LHD,2021-2022,15.5,10.4,20.6
Ever used,Far West LHD,2022-2023,19.2,12.3,26.1
Ever used,All LHDs,2014-2015,7.6,7,8.2
Ever used,All LHDs,2015-2016,7.6,7,8.2
Ever used,All LHDs,2016-2017,7.9,7.3,8.5
Ever used,All LHDs,2017-2018,7.7,7.2,8.3
Ever used,All LHDs,2018-2019,8.8,8.2,9.5
Ever used,All LHDs,2019-2020,9.6,8.9,10.4
Ever used,All LHDs,2020-2021,13,12.2,13.8
Ever used,All LHDs,2021-2022,17.1,16.3,17.9
Ever used,All LHDs,2022-2023,18.6,17.8,19.4
Current user,Sydney LHD,2014-2015,0.9,0.4,1.4
Current user,Sydney LHD,2015-2016,0.6,0.2,1
Current user,Sydney LHD,2016-2017,0.7,0.2,1.1
Current user,Sydney LHD,2017-2018,1.2,0.5,1.9
Current user,Sydney LHD,2018-2019,1.8,0.8,2.8
Current user,Sydney LHD,2019-2020,2.4,0.9,4
Current user,Sydney LHD,2020-2021,5.3,3.6,7
Current user,Sydney LHD,2021-2022,8.1,6.5,9.7
Current user,Sydney LHD,2022-2023,9.5,7.7,11.3
Current user,South Western Sydney LHD,2014-2015,1.2,0.3,2
Current user,South Western Sydney LHD,2015-2016,0.8,0.3,1.2
Current user,South Western Sydney LHD,2016-2017,0.8,0.4,1.3
Current user,South Western Sydney LHD,2017-2018,1.5,0.7,2.3
Current user,South Western Sydney LHD,2018-2019,1.7,0.8,2.6
